Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
5.471565000,0,0,0,0,1,1,1,0
5.471566000,0,0,0,0,1,1,0,0
5.471591000,0,1,1,1,1,1,1,1
5.471643000,0,0,0,0,1,1,1,0
5.471644000,0,0,0,0,1,1,0,0
5.471669000,0,0,0,1,1,1,1,0
5.471670000,0,1,1,1,1,1,1,1
5.471825000,0,0,1,0,1,1,1,1
5.471826000,0,0,0,0,1,1,0,0
5.471852000,0,1,1,1,1,1,1,1
5.472086000,0,0,0,0,1,1,1,0
5.472087000,0,0,0,0,1,1,0,0
5.472112000,0,0,0,1,1,1,0,0
5.472113000,0,1,1,1,1,1,1,1
5.472347000,0,0,0,0,1,1,1,0
5.472348000,0,0,0,0,1,1,0,0
5.472373000,0,0,0,1,1,1,1,0
5.472374000,0,1,1,1,1,1,1,1
5.472399000,0,0,0,0,1,1,1,0
5.472400000,0,0,0,0,1,1,0,0
5.472425000,0,0,0,1,1,1,0,0
5.472426000,0,1,1,1,1,1,1,1
5.472503000,0,0,1,0,1,1,1,1
5.472504000,0,0,0,0,1,1,0,0
5.472530000,0,1,1,1,1,1,1,1
5.472581000,0,0,1,1,1,1,1,1
5.472582000,0,0,0,0,1,1,1,0
5.472583000,0,0,0,0,1,1,0,0
5.472634000,0,1,1,1,1,1,1,1
5.472660000,0,0,0,0,1,1,1,0
5.472661000,0,0,0,0,1,1,0,0
5.472686000,0,0,0,1,1,1,1,0
5.472687000,0,1,1,1,1,1,1,1
5.472842000,0,0,1,0,1,1,1,1
5.472843000,0,0,0,0,1,1,0,0
5.670378000,1,1,0,0,1,1,0,0
5.670404000,0,0,0,0,1,1,0,0
5.670560000,1,1,0,0,1,1,0,0
5.670612000,0,0,0,0,1,1,0,0
5.670665000,1,1,0,0,1,1,0,0
5.670691000,0,0,0,0,1,1,0,0
5.670743000,1,1,0,0,1,1,0,0
5.670899000,0,0,0,0,1,1,0,0
5.670952000,1,1,0,0,1,1,0,0
5.671004000,0,0,0,0,1,1,0,0
5.671030000,1,1,0,0,1,1,0,0
5.671082000,0,0,0,0,1,1,0,0
5.671108000,1,1,0,0,1,1,0,0
5.671186000,0,0,0,0,1,1,0,0
5.671239000,1,1,0,0,1,1,0,0
5.671291000,0,0,0,0,1,1,0,0
5.671317000,1,1,0,0,1,1,0,0
5.671473000,0,0,0,0,1,1,0,0
5.671526000,1,1,0,0,1,1,0,0
5.671760000,0,0,0,0,1,1,0,0
5.671812000,1,0,0,0,1,1,0,0
5.671813000,1,1,0,0,1,1,0,0
5.671838000,0,0,0,0,1,1,0,0
5.671864000,1,0,0,0,1,1,0,0
5.671865000,1,1,0,0,1,1,0,0
5.672047000,0,0,0,0,1,1,0,0
5.672099000,1,1,0,0,1,1,0,0
5.672177000,0,0,0,0,1,1,0,0
5.672203000,1,0,0,0,1,1,0,0
5.672204000,1,1,0,0,1,1,0,0
5.672255000,0,0,0,0,1,1,0,0
5.672281000,1,0,0,0,1,1,0,0
5.672282000,1,1,0,0,1,1,0,0
5.672333000,0,0,0,0,1,1,0,0
5.672386000,1,1,0,0,1,1,0,0
5.672464000,0,0,0,0,1,1,0,0
5.672516000,1,1,0,0,1,1,0,0
5.672542000,0,0,0,0,1,1,0,0
5.672594000,1,1,0,0,1,1,0,0
5.672620000,0,0,0,0,1,1,0,0
5.674806000,0,0,0,1,1,1,1,0
5.674807000,0,1,1,1,1,1,1,1
5.674832000,0,0,0,0,1,1,1,0
5.674833000,0,0,0,0,1,1,0,0
5.674989000,0,1,1,1,1,1,1,1
5.675041000,0,0,0,0,1,1,1,0
5.675042000,0,0,0,0,1,1,0,0
5.675067000,0,1,1,1,1,1,1,1
5.675093000,0,0,0,0,1,1,1,0
5.675094000,0,0,0,0,1,1,0,0
5.675145000,0,0,0,1,1,1,1,0
5.675146000,0,1,1,1,1,1,1,1
5.675301000,0,0,1,1,1,1,1,1
5.675302000,0,0,0,0,1,1,1,0
5.675303000,0,0,0,0,1,1,0,0
5.675328000,0,1,1,1,1,1,1,1
5.675380000,0,0,0,0,1,1,1,0
5.675381000,0,0,0,0,1,1,0,0
5.675406000,0,0,0,1,1,1,1,0
5.675407000,0,1,1,1,1,1,1,1
5.675562000,0,0,1,1,1,1,1,1
5.675563000,0,0,0,0,1,1,0,0
5.675589000,0,1,1,1,1,1,1,1
5.675823000,0,0,1,0,1,1,1,1
5.675824000,0,0,0,0,1,1,0,0
5.675850000,0,1,1,1,1,1,1,1
5.676084000,0,0,1,0,1,1,1,1
5.676085000,0,0,0,0,1,1,0,0
5.676110000,0,0,0,1,1,1,0,0
5.676111000,0,1,1,1,1,1,1,1
5.676136000,0,0,1,0,1,1,1,1
5.676137000,0,0,0,0,1,1,0,0
5.676163000,0,1,1,1,1,1,1,1
5.676241000,0,0,0,0,1,1,1,0
5.676242000,0,0,0,0,1,1,0,0
5.676267000,0,1,1,1,1,1,1,1
5.676319000,0,0,0,0,1,1,1,0
5.676320000,0,0,0,0,1,1,0,0
5.676371000,0,0,0,1,1,1,0,0
5.676372000,0,1,1,1,1,1,1,1
5.676397000,0,0,1,0,1,1,1,1
5.676398000,0,0,0,0,1,1,0,0
5.676423000,0,0,0,1,1,1,0,0
5.676424000,0,1,1,1,1,1,1,1
5.676580000,0,0,0,0,1,1,1,0
5.676581000,0,0,0,0,1,1,0,0
5.871975000,1,1,0,0,1,1,0,0
5.872001000,0,0,0,0,1,1,0,0
5.872157000,1,1,0,0,1,1,0,0
5.872209000,0,0,0,0,1,1,0,0
5.872261000,1,0,0,0,1,1,0,0
5.872262000,1,1,0,0,1,1,0,0
5.872287000,0,0,0,0,1,1,0,0
5.872339000,1,0,0,0,1,1,0,0
5.872340000,1,1,0,0,1,1,0,0
5.872496000,0,0,0,0,1,1,0,0
5.872548000,1,1,0,0,1,1,0,0
5.872600000,0,0,0,0,1,1,0,0
5.872626000,1,1,0,0,1,1,0,0
5.872678000,0,0,0,0,1,1,0,0
5.872704000,1,1,0,0,1,1,0,0
5.872782000,0,0,0,0,1,1,0,0
5.872835000,1,1,0,0,1,1,0,0
5.872861000,0,0,0,0,1,1,0,0
5.872913000,1,1,0,0,1,1,0,0
5.873069000,0,0,0,0,1,1,0,0
5.873121000,1,0,0,0,1,1,0,0
5.873122000,1,1,0,0,1,1,0,0
5.873356000,0,0,0,0,1,1,0,0
5.873408000,1,1,0,0,1,1,0,0
5.873434000,0,0,0,0,1,1,0,0
5.873460000,1,0,0,0,1,1,0,0
5.873461000,1,1,0,0,1,1,0,0
5.873643000,0,0,0,0,1,1,0,0
5.873695000,1,1,0,0,1,1,0,0
5.873721000,0,0,0,0,1,1,0,0
5.873747000,1,1,0,0,1,1,0,0
5.873773000,0,0,0,0,1,1,0,0
5.873799000,1,1,0,0,1,1,0,0
5.873825000,0,0,0,0,1,1,0,0
5.873903000,1,0,0,0,1,1,0,0
5.873904000,1,1,0,0,1,1,0,0
5.873929000,0,0,0,0,1,1,0,0
5.873982000,1,1,0,0,1,1,0,0
5.874060000,0,0,0,0,1,1,0,0
5.874112000,1,1,0,0,1,1,0,0
5.874138000,0,0,0,0,1,1,0,0
5.874164000,1,1,0,0,1,1,0,0
5.874190000,0,0,0,0,1,1,0,0
5.876513000,0,0,0,1,1,1,1,0
5.876514000,0,1,1,1,1,1,1,1
5.876539000,0,0,0,0,1,1,1,0
5.876540000,0,0,0,0,1,1,0,0
5.876696000,0,1,1,1,1,1,1,1
5.876748000,0,0,0,0,1,1,1,0
5.876749000,0,0,0,0,1,1,0,0
5.876774000,0,1,1,1,1,1,1,1
5.876800000,0,0,0,0,1,1,1,0
5.876801000,0,0,0,0,1,1,0,0
5.876852000,0,0,0,1,1,1,1,0
5.876853000,0,1,1,1,1,1,1,1
5.877008000,0,0,1,1,1,1,1,1
5.877009000,0,0,0,0,1,1,1,0
5.877010000,0,0,0,0,1,1,0,0
5.877035000,0,1,1,1,1,1,1,1
5.877087000,0,0,0,0,1,1,1,0
5.877088000,0,0,0,0,1,1,0,0
5.877113000,0,0,1,1,1,1,1,1
5.877114000,0,1,1,1,1,1,1,1
5.877269000,0,0,1,0,1,1,1,1
5.877270000,0,0,0,0,1,1,0,0
5.877296000,0,1,1,1,1,1,1,1
5.877530000,0,0,0,0,1,1,1,0
5.877531000,0,0,0,0,1,1,0,0
5.877556000,0,0,0,1,1,1,0,0
5.877557000,0,1,1,1,1,1,1,1
5.877791000,0,0,0,0,1,1,1,0
5.877792000,0,0,0,0,1,1,0,0
5.877817000,0,0,0,1,1,1,1,0
5.877818000,0,1,1,1,1,1,1,1
5.877843000,0,0,0,0,1,1,1,0
5.877844000,0,0,0,0,1,1,0,0
5.877869000,0,0,0,1,1,1,0,0
5.877870000,0,1,1,1,1,1,1,1
5.877947000,0,0,1,0,1,1,1,1
5.877948000,0,0,0,0,1,1,0,0
5.877974000,0,1,1,1,1,1,1,1
5.878026000,0,0,0,0,1,1,1,0
5.878027000,0,0,0,0,1,1,0,0
5.878078000,0,0,0,1,1,1,1,0
5.878079000,0,1,1,1,1,1,1,1
5.878104000,0,0,0,0,1,1,1,0
5.878105000,0,0,0,0,1,1,0,0
5.878130000,0,0,0,1,1,1,1,0
5.878131000,0,1,1,1,1,1,1,1
5.878286000,0,0,1,1,1,1,1,1
5.878287000,0,0,0,0,1,1,1,0
5.878288000,0,0,0,0,1,1,0,0
6.078414000,1,1,0,0,1,1,0,0
6.078440000,0,0,0,0,1,1,0,0
6.078596000,1,1,0,0,1,1,0,0
6.078648000,0,0,0,0,1,1,0,0
6.078701000,1,1,0,0,1,1,0,0
6.078727000,0,0,0,0,1,1,0,0
6.078779000,1,1,0,0,1,1,0,0
6.078935000,0,0,0,0,1,1,0,0
6.078987000,1,0,0,0,1,1,0,0
6.078988000,1,1,0,0,1,1,0,0
6.079040000,0,0,0,0,1,1,0,0
6.079065000,1,0,0,0,1,1,0,0
6.079066000,1,1,0,0,1,1,0,0
6.079118000,0,0,0,0,1,1,0,0
6.079144000,1,1,0,0,1,1,0,0
6.079222000,0,0,0,0,1,1,0,0
6.079274000,1,1,0,0,1,1,0,0
6.079352000,0,0,0,0,1,1,0,0
6.079378000,1,0,0,0,1,1,0,0
6.079379000,1,1,0,0,1,1,0,0
6.079509000,0,0,0,0,1,1,0,0
6.079561000,1,1,0,0,1,1,0,0
6.079795000,0,0,0,0,1,1,0,0
6.079848000,1,1,0,0,1,1,0,0
6.079874000,0,0,0,0,1,1,0,0
6.079900000,1,1,0,0,1,1,0,0
6.080082000,0,0,0,0,1,1,0,0
6.080135000,1,1,0,0,1,1,0,0
6.080213000,0,0,0,0,1,1,0,0
6.080239000,1,1,0,0,1,1,0,0
6.080317000,0,0,0,0,1,1,0,0
6.080421000,1,0,0,0,1,1,0,0
6.080422000,1,1,0,0,1,1,0,0
6.080447000,0,0,0,0,1,1,0,0
6.080473000,1,0,0,0,1,1,0,0
6.080474000,1,1,0,0,1,1,0,0
6.080500000,0,0,0,0,1,1,0,0
6.080551000,1,0,0,0,1,1,0,0
6.080552000,1,1,0,0,1,1,0,0
6.080578000,0,0,0,0,1,1,0,0
6.080630000,1,1,0,0,1,1,0,0
6.080656000,0,0,0,0,1,1,0,0
6.082731000,0,0,0,1,1,1,1,0
6.082732000,0,1,1,1,1,1,1,1
6.082757000,0,0,0,0,1,1,1,0
6.082758000,0,0,0,0,1,1,0,0
6.082914000,0,1,1,1,1,1,1,1
6.082966000,0,0,0,0,1,1,1,0
6.082967000,0,0,0,0,1,1,0,0
6.082992000,0,0,1,1,1,1,1,1
6.082993000,0,1,1,1,1,1,1,1
6.083018000,0,0,0,0,1,1,1,0
6.083019000,0,0,0,0,1,1,0,0
6.083070000,0,0,0,1,1,1,1,0
6.083071000,0,1,1,1,1,1,1,1
6.083226000,0,0,1,1,1,1,1,1
6.083227000,0,0,0,0,1,1,1,0
6.083228000,0,0,0,0,1,1,0,0
6.083253000,0,1,1,1,1,1,1,1
6.083305000,0,0,0,0,1,1,1,0
6.083306000,0,0,0,0,1,1,0,0
6.083331000,0,0,0,1,1,1,1,0
6.083332000,0,1,1,1,1,1,1,1
6.083487000,0,0,1,0,1,1,1,1
6.083488000,0,0,0,0,1,1,0,0
6.083514000,0,1,1,1,1,1,1,1
6.083748000,0,0,1,0,1,1,1,1
6.083749000,0,0,0,0,1,1,0,0
6.083774000,0,0,0,1,1,1,0,0
6.083775000,0,1,1,1,1,1,1,1
6.084009000,0,0,0,0,1,1,1,0
6.084010000,0,0,0,0,1,1,0,0
6.084035000,0,0,0,1,1,1,1,0
6.084036000,0,1,1,1,1,1,1,1
6.084061000,0,0,0,0,1,1,1,0
6.084062000,0,0,0,0,1,1,0,0
6.084087000,0,0,0,1,1,1,0,0
6.084088000,0,1,1,1,1,1,1,1
6.084165000,0,0,1,1,1,1,1,1
6.084166000,0,0,0,0,1,1,0,0
6.084192000,0,1,1,1,1,1,1,1
6.084244000,0,0,0,0,1,1,1,0
6.084245000,0,0,0,0,1,1,0,0
6.084296000,0,0,0,1,1,1,1,0
6.084297000,0,1,1,1,1,1,1,1
6.084322000,0,0,0,0,1,1,1,0
6.084323000,0,0,0,0,1,1,0,0
6.084348000,0,0,0,1,1,1,1,0
6.084349000,0,1,1,1,1,1,1,1
6.084504000,0,0,1,1,1,1,1,1
6.084505000,0,0,0,0,1,1,1,0
6.084506000,0,0,0,0,1,1,0,0
6.282433000,1,1,0,0,1,1,0,0
6.282459000,0,0,0,0,1,1,0,0
6.282615000,1,0,0,0,1,1,0,0
6.282616000,1,1,0,0,1,1,0,0
6.282667000,1,0,0,0,1,1,0,0
